U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';y;U' L D' L z' r' x D;y U L U L' U L U' L'
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y' x;D2' L' U2 x' U2' z';U2 R U' R' U' F U' F'
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;x y2;U D x' U' R';U' R U' R' U2 R U' R'
U' B2 L2 D2 F2 U L2 D' B' L' U' R F2 D2 F U' R D';x';R D R D R';U R U R' y' U' R' U R
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y x2;D' U r U' y z' F' R';U2 L U' L' D'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y x2;D' U' r U' x' y F R' F2 D2;U2' F' U' F U' R U R'
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y x2;R' F D L D;R U R' U' y R' U' R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y x2;r U' l;U' y' R U' R' U R U' R'
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y' x;D R' F R2 L2 D2';R U R' U R U R'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';x y2;D' L D L R2' D';y R2' U2' R U R' U R2
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x' y';R' D2 R' D' L' d D2;L U L' U L U' L'
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;x;R2' U' r L U2 x' D';U2' R U' R' d R' U' R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y x';D2 U R' F U L2 D2;U' R U2 R' U2 L' U' L
U2 B F R2 B F' D B' D2 B2 R B2 L' B2 D U R U';x2;D2 R2' F' L;U2' R U' R' L' U' L U' L' U L
B R2 U2 L2 R D' F U F2 L U2 F U' F2 D' B R2;x;L U L D' x D R' D2 y' R;U R' U' R U' y' R' U R
L D2 B2 F2 U2 F2 R D2 U F' L U B' U' B U2 L B R2;y2;R B R U' R' l' U x;U' L' U L U' y' L' U L
L B2 D2 L2 B2 F D' R B' U2 L2 D R D' L' R B2 D' U';y x;r2 U' r' D' R' F D;U R U' R' U R' U' R
D2 U' R2 U F2 D2 U' R2 U' B' L2 R' B' D2 U B2 L' D' R2;x y';F R D L F;U R U' R' d R' U R
D2 L2 F2 D U2 R2 U' R' F2 L' U F2 R B' L2 D' B2 L2 R2;z;U' r' u R' u';U L' U L2 U' L'
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y x2;U D r U' D x' R D';y U2' R U' R' U R U R'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y x';R' D' U' R L U' x' D R';U R U2' R2' U' R
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x2;r U x' U' R2 B2;U' R2' u' R2 u R2
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y x2;R' F D L D;R U R' U' R' U R U2' R' U R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y2 x';U D x' R';U' R U' R' U R U' R'
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;x2;D2 r' R F' D' L;U2' y R U' R'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';x y2;M2' U' r' x';y' R' U' R U' y R U R'
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x y';L' U R' U L' x' z' x' u;U u' R' U' R D
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y x2;R' F D L D;R U R' U' y R' U' R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y x';L R U' x';y' U' R U' R' U R U' R'
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y x2;U D' L F' R' y R' D';U2' R' U2 R U R' U' R
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y x2;U' D' r U' R' U x' F' D2 y' R;U y R U2' R' U R U' R'
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x';B' L U x' R' y R2;U2 R U' R' U y R U' R'
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y x2;R' F D L D;y' R' U' R U' R' U R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y x2;L F' U2 R;U' y L' U L
B L2 F R2 F U2 B L2 D2 F R2 U' B R' U' F2 D B F' U2;x;r' U r U' r' R' u';R U' R' U y R U' R'
B U F2 B' L' B L2 B2 R U B R2 D' L2 F2 R2 F2 U2;y2;R D R' D2 R2' D';U2 L' U L
D F2 L F R B2 D' F2 B R' U' L2 U' B2 R2 F2 R2 D2 B2 R2 U;U2 L2 F' L' y R' F D;y U L U L'
F2 D2 L2 F D2 R2 F' L2 B U2 R D' U L' U L' R' F L' D2;y;U' R2' F y R u;L' U L
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y x';D R U' L U z x' R U y' R' F R;R U' R' U R U R'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y x2;U' D' r U' R' x' D2' y' R;U y R U2' R' U R U' R'
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';y x';U l U' z U2 x' U2 z';U2 z U R U' R U R' U' z'
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y x';R' U F r U x2';U' U y' R' U' R U' R' U R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y x';L R U' x';U2' y' R' U R U' R' U R
D' L2 R2 D2 L2 U2 F2 R2 F' D L R' F2 U F U' B2 D L2;x2;R F R' U D2 F' D;U2' L' U L
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;z y2;r' R U x U' x U' x U' r';R' x R' U' R2' U R U' R' U
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';x' y;D U' r U' x' R' U r' D' r2';x' R' U R' U' R U R U' x
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';z y2;U x U l' U2 x U2;x' R' x' l' R2' U' R U R2 U R' U' x
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;x' y;U' x' U x' L U r;U' R' U R' U' R U
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y' z';D U x U';R' U R' U' R U R' U'
B2 U2 R2 D U2 F2 L' D' B2 L2 R' B2 F' D L B' U' B U';x' y;D2 R' D F R u' R u';U' R U' R' y' L U L'
D2 F' U2 L2 R' F' D' L' D L' R2 F2 R D L' R2 U F';y x;r' U' r' R' D2 R;y' R U' R'
F2 U2 L2 B' U' B' F L2 D2 U' R2 D' L' D U L2 F2 L';U r' U' x' R' D2;y R' U R U' R U R'
B F' L2 D2 B2 L R' U' L F' U B2 U2 B F2 L2 U';x';R' D R2 L' D;U' R U' R' U2 L' U' L
B' D2 U2 B U F2 R' U R2 F L' U B' F' D' L' B' R F;y';R2' F U' L2' D L';U L' U L y' L U L'
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y x';D R U' L U2 x' y' U y' R' F R;R U' R' U R U R'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y x';D r' R F R' D L2 D2';y U R U' R' U2 R U' R'
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x2;r U' r' R2 D r U2 x';y2' U2 R U' R2' U R
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;x2 y';R' F D L D;R U R' d' R' U' R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y x2;L F' U2 R;U' y' R' U R
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y2;U2 R' r F' U' l x';U R U' R' L U L'
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x y;R' U r' x' D R' D;R U' R' U y' L U L'
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y2 x;R r2' D' R F2;U' R' U' R U' y' R' U' R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;z';L2' U' R' U x' D;d U U U' L' U L R U R'
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y' x;r' R2' F U L2' R' D2';y' U R' U2' R2 U R'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y x2;L R D' F R' y' U2 R' F R D';y2' U R' U2 R L' U L
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x2 y;U' x' U r R2' F';y' U R U' R' y' U' R' U R
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y x2;R' F D L D;R U R' U' y R' U' R
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y2 x;U D l';U' R U' R' U R U' R'
B2 U2 R2 D U2 F2 L' D' B2 L2 R' B2 F' D L B' U' B U';x y;R F r U' z' x' u' R u';L' U L
D2 F' U2 L2 R' F' D' L' D L' R2 F2 R D L' R2 U F';x;D L F' u F' R2 D2;L' U L U R U R'
F2 U2 L2 B' U' B' F L2 D2 U' R2 D' L' D U L2 F2 L';x y;U r U' z' x' F u' F R';U' L' U' L R' U' R
B F' L2 D2 B2 L R' U' L F' U B2 U2 B F2 L2 U';x;B U' R' U R' F;y' R' U' R U' R' U' R
B' D2 U2 B U F2 R' U R2 F L' U B' F' D' L' B' R F;x;r U x' u' R D2 F;U2' R' U2 R U' R' U R
U L D F' B' R L2 U2 F' R' U2 F2 U2 F2 L' B2 L2 F2 D2 L2;y';R' D F R D U L2';y2' U R' U' R
D2 U2 L U2 L F2 R' B2 D2 R F D B2 R2 F L D B' U B';D' x' r2 U' r' R' D2;y U L' U' L
F' B2 D B' L2 B R' L F' L F2 B2 D2 L2 F' R2 B' U2 D2 L2;y;D L U D2 L F' u';R U2' R' U2 R U' R'
U' L2 B2 D2 B2 U F2 D' B2 U B' F2 U' L D' U F2 L' D2 L';y;L2' U R' U' R' F D2 y' R;y' U R U' R2' U' R
F' D2 L' U R' B U' D2 L F' U2 L2 D' F2 B2 D2 F2 D R2;y2;R2' F y' D R' D;y U2' R2 U' R' U R2'
F2 D' R2 D' L2 U' F2 L2 U F R' U' B F L' U2 B' U R2 D2;x' y;D R' x U' r' U L' D;y U' R' U' R
F' U2 L2 B' L2 F L2 F' R2 U2 L' B2 F D' F' R' B D' U' R2;x y';U2 D' R' y L' U2 R2;y L' U L u'
F2 L2 F2 U2 L' U2 L U2 B2 D2 L U R F U B R2 D L2 R2 F2;z y2;D2 U R' y L R' u' R;U' R U' R' U R U' R'
B2 F2 R2 B2 D2 B2 D U2 B2 L2 U R' B' U' F2 U' B R2 U' L' F;z2;L2 F y Uw' R' F R2 Uw;L U' L'
B' F' R2 F D2 U' B2 F D2 R2 D' U2 B' D R2 F' L' R2 F;z';D F U L U r;x2 R' U' R U x R2' U R U'
R2 B2 D2 L2 R2 U' R2 U2 R B D2 L F' R' F D F' D2;U F R' F2 D F' L D' B D';U R U' R2 U R
U2 B2 R2 U2 R F2 L2 R2 D2 R D R D' R' B U B' R2 D' R;y2;L F' R2 L2 D L;y R' U2 R U' y R U R'
B2 L2 U2 L2 R2 B F R2 B U2 F U' B' U2 B' R2 U L B' R2;y';D' L' R2 D R';U2 R' U2 R2 U R'
D2 F2 U2 F2 U2 R2 B L2 F2 L' B U' L2 F' L2 R U2 F L;x' y2;U2' z U2';B' D2 U2 R2 F L B2 R B' F2 U L B2 L2 B' D U' B;x y2;U' R' U' z U2';R2 D B2 F2 L2 B2 U B' L F D' B' D2 L B D F' L U2;x2;U' R U' R U' z U2';D2 F2 L2 D2 R2 D2 U F B2 R' D' L2 U F' L2 D F2 D;x;z U' R z' R2;L2 R2 F R2 B2 L2 D2 F' D' L' F' U2 B U2 L F2 D' B L2;z' y;r' D R U' D2 R D';U L U' L'
B2 F2 D2 L R' F' L' U' B F' U' R' D R' U2 L F2 D;x y;D R L' u L';U R U R' L U L'
D B2 D' R2 U' B2 U' F2 D' U2 R' U' R2 B R2 D' U2 R' F2 D F;z2 y' R D';U' R' U' R L U' L'
R2 B2 D' L2 R2 D2 F2 U' F2 D' L2 U B' D2 L' U2 B F R U R;x;U2 R2 F U' L2;U R U' R'
D' R2 D L2 B2 L2 D' R2 F' L2 R' F D F' D' L' U2 F' R;y' x U' R2 x' U R' u;U' R U' R'
R' F' L' F U' D2 R D' L' U2 B2 D' F2 L' U' F' B2 L2;u' R' F l' L D2 x' u';y U' R U R' d' R' U' R
B2 F D2 U2 R2 D2 B2 F2 U L2 F2 L' R2 D' U' L R D B D2 R D L D2 B2;y2 x';R' U2 x' L2;U2' y' R' U R
D2 L D2 U2 F' U R2 B L R' B2 L F' L R D' U2;y2;r U x' U R' U R' z2 y' D2';U R' U' R2 U R'
B R D2 F2 R F2 U D F2 R2 L2 D' U' R2 U2 F' L' B2 F R U2 R' B F U2;z2 y';R F R U' R;R' U2 R2 U R'
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';y2;U' M U x' R2 D';U' R U R' U L U L'
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';x' y2;R U' D x' r2 R' U' R';R' U' R y' R' U' R
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;x';F r' F' R' D2;y2' R' U' R U2 R U' R'
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';z2;B' D L' R' F R U R;U L U L' U L U' L'
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;y x2;L2 D' L' U F R' D';y' R' U R
F D2 B' U2 B2 R2 U' B U L2 U2 L' B' D' B' D F2 L2;x2;R y U' R2 y R';U2' y z U' R U z'
D' L2 B2 L2 B2 D R2 B2 D2 R2 U B R D' U2 L D2 R' D' R';x2 y2 L2 R F y  R2 y  D R';y2  U L' U' L U' y  L U L'
F D2 F R2 F L2 F L' F' L' U2 R2 U B' U' L' U F R';B' R' B U r' x';F2 L2 B' R' F' R F2 D' R2 B D U F U F2 U' B;z2;z L' U R' x  z' L' U' L';U2 L' B2 U2 F' L R2 U2 R2 B2 L2 B2 L F U B' D2 U' B U F' R B R' F;y2 z' U' R' U' R' U' z u2' y R' D2;R U' R2' U R
U2 R2 B2 U2 B2 F' L2 R2 D2 U B2 L2 D R' D2 U' B2 L D';R U' R' U' U' R;z' R2 U R' U' R x' U' R U
R2 D2 L B2 D2 U R' B' R2 U F2 R D2 B L' D;x2;D2 U R y R';y' U' R U R' U y' R U' R'
F D2 U2 B' D2 B' R U2 L' F D2 L B2 F2 D L2 R' B2;z2;D r x' R' U y' R;y' U' R U' R' U R U R'
F2 L' F2 D2 R' F' R' B2 R' B D L2 B2 D' U2 R2 B;y' x;r r R' U';z' x' U' R U' R'
D' R2 D2 L2 B2 D' B R' B2 U2 B' D L F D B U' R;y2;R U' z U' z' U' R' U' z2';U' R' U R L U L'
L2 D2 B2 R' D U B U' B2 D U2 R F2 U L2 D2 F U2;x';D' U R R x' D';z U' R U R x' U R' U'
D' L2 B2 L2 F2 D' U2 R U B' F R' F L' R B2 D' F2 U2 B';z;r U D' r R' x' F;y' L' U L
F2 U F2 U R2 D' B2 U2 F2 L B' R2 U' F' R D' R2 D' B' U;x y';u' x U r' u' R D;U' R U' R' U' L' U' L
L2 U' L2 U2 B2 R2 D2 B D' F R B' F' L' B2 U' F R' U2;y2 x';L2' U R2' F2;U' L' U L
U' B2 D2 F2 U F2 U B U L2 R' F U B2 R B' R2 U2 F;y2 x;R L U' L F';L U L' U' R U' R'
R B2 D2 L2 R' U2 R' D' L B2 U F' D2 B2 U L U F';x;L2 R2' F R';U2' R U' R' y U2' R' U' R
F2 U' R2 B2 R2 U L2 U2 B2 R2 F2 L' U2 F' R D' B D' F2 U' F2;x2 z;D' r' F' u' R U R;y' R U2' R' U R U' R'
B2 R2 B2 U' F2 R2 U' R' U' R D' F' D2 R D L D L' D2 U2;y' z';R D' R2' y' R' F R;U' R U2' R' U2 R U' R'
B2 D2 U' L2 D F' U' F D B D' U' L2 U2 L' B' L' R2 B2;x' y;D R' D r U2 x' u';R U R' y U R U' R'
L2 U' L2 B2 L2 U2 R' B' L2 D2 L' B' F2 D R' B R2 F D';z';r u' M' x' F y D';U' R' U' R
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';y2;U' M U R2 x' D';y2' U2 R U' x' R' U' R U l'
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';x y2;R U D' M2' x;y' U' R U2 R' U' R U  R'
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;x y2;U' x' U' R' F B' y' D';U R U2' R' U2 R U' R'
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';y2 x';D' x' D L' R' F R2;R' U R U L U L' U L U' L'
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;y x2;L U F R' U' l U' l' D';U R U' R' U R U' R' U2 R U' R'
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';y x';R U x' U' R2 D R' F R D;R U' R' U R U' R'
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';x y2;R D' U R2 x' L2';y U' L U2 L' U' L U L'
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;x y2;U' x' U' R' F B' y' D';U' R U' R' U R' U' R
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';x2;F D' r R' U' x' y' D2';R U R' U'2 R U R'
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;x2;x' U F r2 U' r' y' R' D' R;U R' y' U R U R2' U2' R
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';x2;D R F R2 L' D' y M2' U2' M2';y' U2' R U' R' L U' L' U L' U L U y L' U L
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';x2;L F' B L2' R2;y' U' R U2' R' U' R U R'
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;y x';r' U' F' R' L U D';L U2 L' U2 L U' L'
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;y x';L U x' D' R' F R';L' U' L2 U L'
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';y';r U' R' U' x' D' R2;y' U R' F U' F' R
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';x2;r U' D L2' x' R2;d' L U2 L' U' L U L'
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;y;R' F' D R' F R;y U R U' R2' U R
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';y x;U' x' D' R' D' L2' y L F' L' D';y R' U' R U2 R' U' R
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;z2;F R D R' F R D2 y R' F R;y' R U R' U' R U' R' U' L' U' L
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';y';r U' R' U' x' D' R2';d' R U R2' U2' R
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';y;R2' U' r U x' y L R u;y R U' R2' U' R
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;y;R' d R' F u;U2' R U R'
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';y' x;R2' U L' z' x' R u' R;y R' U R U' R U R'
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;U l' U2 r' D F' L' u y D;y' R U R' d' L' U L
U' R2;F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';x2;D' R' L B L2' D';U2' R U' R' y U R U' R'
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';y' x;R U L2' x' D' R;y' R' U' R D2
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;y2;D' R' D F' L' D;U2 R U' R2' U R
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';x2;F D' R' L F' y' D' D' U;R U' R' U R U' R' U R U' R'
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';y';r U' R' U' x' D' R2;U' R' U R U2 y' L' U L
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';y x';D2 U L R' U2' x' y';R U2' R' U2' y R U R'
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;x y2;U' x' U' R' F B' D';y' U' R U' R' U R' U' R
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';x';U x' D' r R' U' x' U' R U' R' D2;y' U' R' U R
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;y x2;U r U R' x' y R2 D';L' U L U' R U R' U2' R U' R'
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';y2;U' r' R U x' R2 u';L' U2 L d' U' L' U' L
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';y2 x;R U' D x' L2 l2';y' U' L U2 L' U' L U L'
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;y;R' U y' R' F D;L U' L2' U L
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';y;L M' U D x' D' L;y L' U L U' L U L'
D2 B D2 B R2 F U2 R2 B' D2 B' U R' U2 L' D R' B L2 D' B;x;U r u' R' F R';L' U L
F' U2 B' R2 B2 U2 F2 R2 F' R' U B R D2 L D2 L' D2 F' D';x';U L U' x' D' R' L2' D';L' U' L U L U L'
F R2 D2 F R2 F' D2 B' D2 U2 B2 L D' L' R2 F' D2 F U F' L';x2;r U' D L2' l R;d' R U2' R' U' R U R'
F' R2 D' B2 U2 R' L2 F2 U F' L' B2 D2 R2 F2 L2 D F2 U L2 D2;x y2;U' x' U' R' F B' D';y U L U2' L' U2 L U' L'
U2 F2 R2 B2 F2 R D2 L' F2 D2 L F' U R2 U L R B2 U' B';x';U R' L U' x' D L' u;y L' U L R U R'
