101,2024-02-18 14:03:43,-22689178
102,2024-02-18 14:03:50,-22760075
103,2024-02-18 14:04:44,-23432874
104,2024-02-18 14:04:45,-23439193
105,2024-02-18 14:04:56,-23559324
106,2024-02-18 14:07:30,-25481096
107,2024-02-18 14:08:34,-26278027
108,2024-02-18 14:08:36,-26296946
109,2024-02-18 14:08:47,-26423456
110,2024-02-18 14:09:12,-26731426
111,2024-02-18 14:09:43,-27104935
112,2024-02-18 14:10:03,-27350123
113,2024-02-18 14:10:06,-27381614
114,2024-02-18 14:10:20,-27553007
115,2024-02-18 14:10:21,-27551111
116,2024-02-18 14:10:32,-27673508
117,2024-02-18 14:11:11,-28158338
118,2024-02-18 14:11:21,-28270714
119,2024-02-18 14:11:22,-28272904
120,2024-02-18 14:12:51,-29389775
121,2024-02-18 14:13:14,-29675114
122,2024-02-18 14:13:51,-30129971
123,2024-02-18 14:14:19,-30465923
124,2024-02-18 14:14:21,-30492011
125,2024-02-18 14:14:39,-30698578
126,2024-02-18 14:15:20,-31208670
127,2024-02-18 14:15:32,-31344707
128,2024-02-18 14:15:58,-31664517
129,2024-02-18 14:16:48,-32288862
130,2024-02-18 14:19:13,-34113096
131,2024-02-18 14:21:03,-35499068
132,2024-02-18 14:21:05,-35509946
133,2024-02-18 14:21:09,-35548762
134,2024-02-18 14:22:25,-36502331
135,2024-02-18 14:22:26,-36504750
136,2024-02-18 14:22:49,-36781424
137,2024-02-18 14:24:13,-37828538
138,2024-02-18 14:25:24,-38716495
139,2024-02-18 14:26:50,-39795128
140,2024-02-18 14:27:47,-40501066
141,2024-02-18 14:28:55,-41351337
142,2024-02-18 14:29:06,-41481508
143,2024-02-18 14:29:07,-41481145
144,2024-02-18 14:29:08,-41485015
145,2024-02-18 14:29:11,-41508845
146,2024-02-18 14:29:20,-41620375
147,2024-02-18 14:29:21,-41621820
148,2024-02-18 14:30:08,-42208370
149,2024-02-18 14:30:17,-42304698
150,2024-02-18 14:31:34,-43261395
151,2024-02-18 14:32:11,-43720102
152,2024-02-18 14:32:30,-43937808
153,2024-02-18 14:34:25,-45390564
154,2024-02-18 14:35:15,-46005018
155,2024-02-18 14:35:26,-46137034
156,2024-02-18 14:35:30,-46170130
157,2024-02-18 14:36:35,-46972966
158,2024-02-18 14:36:49,-47138018
159,2024-02-18 14:36:49,-47135655
160,2024-02-18 14:37:23,-47553085
161,2024-02-18 14:37:37,-47711069
162,2024-02-18 14:37:53,-47902277
163,2024-02-18 14:37:56,-47936173
164,2024-02-18 14:38:34,-48404811
165,2024-02-18 14:39:39,-49185746
166,2024-02-18 14:39:55,-49363457
167,2024-02-18 14:40:02,-49442022
168,2024-02-18 14:40:11,-49533330
169,2024-02-18 14:40:25,-49692844
170,2024-02-18 14:44:55,-51389143
171,2024-02-18 14:45:46,-52005298
172,2024-02-18 14:46:24,-52479173
173,2024-02-18 14:46:59,-52905588
174,2024-02-18 14:47:33,-53334245
175,2024-02-18 14:47:42,-53432936
176,2024-02-18 14:48:07,-53740249
177,2024-02-18 14:48:43,-54182782
178,2024-02-18 14:49:06,-54466898
179,2024-02-18 14:49:32,-54783994
180,2024-02-18 14:52:54,-57321490
181,2024-02-18 14:52:58,-57364600
182,2024-02-18 14:53:05,-57444716
183,2024-02-18 14:54:20,-58355031
184,2024-02-18 14:54:32,-58493469
185,2024-02-18 14:58:26,-60628426
186,2024-02-18 14:58:50,-60908836
187,2024-02-18 15:02:13,-63040510
188,2024-02-18 15:02:32,-63263079
189,2024-02-18 15:02:34,-63275011
190,2024-02-18 15:04:13,-64226516
191,2024-02-18 15:05:33,-65189866
192,2024-02-18 15:07:55,-65565944
193,2024-02-18 15:12:11,-66595577
194,2024-02-18 15:12:19,-66678141
195,2024-02-18 15:12:55,-67125140
196,2024-02-18 15:13:03,-67218138
197,2024-02-18 15:13:08,-67264792
198,2024-02-18 15:13:53,-67823226
199,2024-02-18 15:13:59,-67894304
200,2024-02-18 15:14:22,-68131160
, 2024-02-19 06:02:29,
201,2024-02-19 06:03:59,-1110277
202,2024-02-19 06:04:12,-1272092
203,2024-02-19 06:04:33,-1523300
204,2024-02-19 06:04:41,-1617318
205,2024-02-19 06:04:58,-1817704
206,2024-02-19 06:05:19,-2067520
207,2024-02-19 06:05:32,-2215838
208,2024-02-19 06:06:45,-3110251
209,2024-02-19 06:06:48,-3136380
210,2024-02-19 06:07:03,-3324397
211,2024-02-19 06:08:33,-4348050
212,2024-02-19 06:08:56,-4613344
213,2024-02-19 06:10:35,-5854979
214,2024-02-19 06:11:45,-6724930
215,2024-02-19 06:14:43,-8957287
216,2024-02-19 06:14:53,-9065915
217,2024-02-19 06:15:20,-9394069
218,2024-02-19 06:15:21,-9404177
219,2024-02-19 06:15:29,-9490112
220,2024-02-19 06:15:51,-9752787
221,2024-02-19 06:16:39,-10359576
222,2024-02-19 06:17:28,-10961029
223,2024-02-19 06:17:33,-11004787
224,2024-02-19 06:17:36,-11037806
225,2024-02-19 06:19:12,-12175678
226,2024-02-19 06:20:56,-13471413
227,2024-02-19 06:21:20,-13773968
228,2024-02-19 06:22:43,-14804002
229,2024-02-19 06:25:14,-16691713
230,2024-02-19 06:25:45,-17072240
231,2024-02-19 06:26:20,-17498099
232,2024-02-19 06:27:03,-18027554
233,2024-02-19 06:28:26,-19057206
234,2024-02-19 06:28:44,-19284417
235,2024-02-19 06:28:47,-19309511
236,2024-02-19 06:30:45,-20786585
237,2024-02-19 06:31:03,-20990183
238,2024-02-19 06:31:11,-21089420
239,2024-02-19 06:32:51,-22340714
240,2024-02-19 06:34:39,-23682171
241,2024-02-19 06:34:41,-23694950
242,2024-02-19 06:35:46,-24506277
243,2024-02-19 06:36:15,-24867968
244,2024-02-19 06:36:20,-24917263
245,2024-02-19 06:36:47,-25253521
246,2024-02-19 06:36:56,-25354524
247,2024-02-19 06:38:04,-26197615
248,2024-02-19 06:38:23,-26428769
249,2024-02-19 06:39:03,-26923820
250,2024-02-19 06:39:31,-27250733

